home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline
PHI,NY,93.0,83.0,4,11:27,-4500.0,1500.0
MIL,MIA,80.0,80.0,3,4:45,-175.0,145.0
NO,SAC,88.0,75.0,3,3:51,-2400.0,1000.0
HOU,UTA,68.0,81.0,3,6:03,1500.0,-4500.0
PHI,NY,93.0,85.0,4,10:58,-2000.0,900.0
MIL,MIA,80.0,81.0,3,4:41,-175.0,145.0
NO,SAC,90.0,75.0,3,3:18,-3200.0,1200.0
HOU,UTA,69.0,81.0,3,6:03,1400.0,-4000.0
DEN,OKC,24.0,24.0,2,11:58,-1050.0,600.0
PHI,NY,93.0,85.0,4,10:48,-3500.0,1300.0
MIL,MIA,80.0,81.0,3,4:33,-200.0,160.0
NO,SAC,90.0,75.0,3,3:04,-3200.0,1200.0
HOU,UTA,70.0,81.0,3,6:00,1400.0,-4000.0
DEN,OKC,27.0,27.0,2,11:25,-1050.0,600.0
PHI,NY,93.0,87.0,4,10:19,-2400.0,1000.0
MIL,MIA,80.0,81.0,3,4:34,-210.0,165.0
NO,SAC,92.0,75.0,3,2:48,-4000.0,1400.0
HOU,UTA,70.0,84.0,3,5:26,1500.0,-4500.0
DEN,OKC,27.0,29.0,2,10:52,-775.0,475.0
PHI,NY,95.0,89.0,4,9:43,-2400.0,1000.0
MIL,MIA,82.0,81.0,3,4:24,-225.0,175.0
