team,gameid,date,home,pts,ppm,poss,tov_rate,reb_rate,oreb_rate,dreb_rate,efpg,tsp,off_eff,def_eff
CLE,22100048,2021-10-25,False,99.0,2.0625,100.0,0.16,0.4854368932038835,0.2549019607843137,0.7115384615384616,0.5060975609756098,0.4852941176470588,0.99,0.87
LAC,22100049,2021-10-25,True,116.0,2.4166666666666665,117.5,0.1446808510638297,0.4954954954954955,0.2,0.7857142857142857,0.5483870967741935,0.5178571428571429,0.9872340425531916,0.7319148936170212
POR,22100049,2021-10-25,False,86.0,1.7916666666666667,117.5,0.2553191489361702,0.5045045045045045,0.2142857142857142,0.8,0.4235294117647059,0.4174757281553398,0.7319148936170212,0.9872340425531916
NYK,22100050,2021-10-26,True,112.0,2.333333333333333,92.0,0.1630434782608695,0.5319148936170213,0.3863636363636363,0.66,0.5632183908045977,0.5490196078431373,1.2173913043478262,1.076086956521739
PHI,22100050,2021-10-26,False,99.0,2.0625,92.0,0.1630434782608695,0.4680851063829787,0.34,0.6136363636363636,0.5121951219512195,0.5,1.076086956521739,1.2173913043478262
OKC,22100051,2021-10-26,True,98.0,2.0416666666666665,101.5,0.1379310344827586,0.48,0.25,0.7727272727272727,0.4883720930232558,0.4757281553398058,0.9655172413793104,1.0443349753694582
GSW,22100051,2021-10-26,False,106.0,2.208333333333333,101.5,0.1477832512315271,0.52,0.2272727272727272,0.75,0.5542168674698795,0.5247524752475248,1.0443349753694582,0.9655172413793104
DAL,22100052,2021-10-26,True,116.0,2.4166666666666665,110.0,0.1363636363636363,0.5217391304347826,0.3333333333333333,0.7068965517241379,0.5268817204301075,0.4915254237288136,1.0545454545454545,0.9636363636363636
HOU,22100052,2021-10-26,False,106.0,2.208333333333333,110.0,0.1545454545454545,0.4782608695652174,0.293103448275862,0.6666666666666666,0.5116279069767442,0.4732142857142857,0.9636363636363636,1.0545454545454545
SAS,22100053,2021-10-26,True,121.0,2.2830188679245285,122.5,0.1306122448979592,0.4923076923076923,0.2985074626865671,0.6984126984126984,0.5046296296296297,0.4653846153846154,0.9877551020408164,1.020408163265306
LAL,22100053,2021-10-26,False,125.0,2.358490566037736,122.5,0.1061224489795918,0.5076923076923077,0.3015873015873015,0.7014925373134329,0.5142857142857142,0.4921259842519685,1.020408163265306,0.9877551020408164
UTA,22100054,2021-10-26,True,122.0,2.5416666666666665,107.5,0.1302325581395348,0.5416666666666666,0.3191489361702128,0.7551020408163265,0.5882352941176471,0.5350877192982456,1.1348837209302325,1.0232558139534884
DEN,22100054,2021-10-26,False,110.0,2.2916666666666665,107.5,0.1209302325581395,0.4583333333333333,0.2448979591836734,0.6808510638297872,0.5662650602409639,0.514018691588785,1.0232558139534884,1.1348837209302325
ORL,22100055,2021-10-27,True,111.0,2.3125,105.0,0.1809523809523809,0.4891304347826087,0.3265306122448979,0.6744186046511628,0.5738636363636364,0.5495049504950495,1.0571428571428572,1.1428571428571428
CHA,22100055,2021-10-27,False,120.0,2.5,105.0,0.1619047619047619,0.5108695652173914,0.3255813953488372,0.673469387755102,0.6024096385542169,0.5607476635514018,1.1428571428571428,1.0571428571428572
BOS,22100056,2021-10-27,True,107.0,2.2291666666666665,104.0,0.125,0.4313725490196078,0.2830188679245283,0.5918367346938775,0.4941176470588235,0.4734513274336283,1.0288461538461535,1.1153846153846154
WAS,22100056,2021-10-27,False,116.0,2.4166666666666665,104.0,0.1538461538461538,0.5686274509803921,0.4081632653061224,0.7169811320754716,0.5654761904761905,0.5132743362831859,1.1153846153846154,1.0288461538461535
BKN,22100057,2021-10-27,True,93.0,1.9375,110.5,0.1447963800904977,0.391304347826087,0.1454545454545454,0.6166666666666667,0.4705882352941176,0.4696969696969697,0.8416289592760181,0.9592760180995475
MIA,22100057,2021-10-27,False,106.0,2.208333333333333,110.5,0.1357466063348416,0.6086956521739131,0.3833333333333333,0.8545454545454545,0.4375,0.4344262295081967,0.9592760180995475,0.8416289592760181
TOR,22100058,2021-10-27,True,118.0,2.458333333333333,103.0,0.116504854368932,0.5238095238095238,0.4761904761904761,0.5952380952380952,0.53,0.4957983193277311,1.145631067961165,0.970873786407767
IND,22100058,2021-10-27,False,100.0,2.083333333333333,103.0,0.2233009708737864,0.4761904761904761,0.4047619047619047,0.5238095238095238,0.5443037974683544,0.5208333333333334,0.970873786407767,1.145631067961165
